date,Total cases and total deaths (M),Symbol
2020/10/13,38161563,total cases
2020/10/13,1086862,total deaths
2020/10/13,26513681,total recovered
2020/10/14,38543448,total cases
2020/10/14,1092921,total deaths
2020/10/14,26725966,total recovered
2020/10/15,38950083,total cases
2020/10/15,1099017,total deaths
2020/10/15,26933293,total recovered
2020/10/16,39361310,total cases
2020/10/16,1105159,total deaths
2020/10/16,27136307,total recovered
2020/10/17,39733921,total cases
2020/10/17,1110742,total deaths
2020/10/17,27334590,total recovered
2020/10/18,40050552,total cases
2020/10/18,1114244,total deaths
2020/10/18,27536101,total recovered
2020/10/19,40436980,total cases
2020/10/19,1119042,total deaths
2020/10/19,27738632,total recovered
2020/10/20,40825619,total cases
2020/10/20,1125593,total deaths
2020/10/20,27950079,total recovered
2020/10/21,41269869,total cases
2020/10/21,1132261,total deaths
2020/10/21,28161301,total recovered
2020/10/22,41742073,total cases
2020/10/22,1138148,total deaths
2020/10/22,28388094,total recovered
2020/10/23,42238234,total cases
2020/10/23,1145099,total deaths
2020/10/23,28594828,total recovered
2020/10/24,42694987,total cases
2020/10/24,1150925,total deaths
2020/10/24,28806409,total recovered
2020/10/25,43055358,total cases
2020/10/25,1155065,total deaths
2020/10/25,29003667,total recovered
2020/10/26,43541356,total cases
2020/10/26,1160533,total deaths
2020/10/26,29242802,total recovered
2020/10/27,44010608,total cases
2020/10/27,1167903,total deaths
2020/10/27,29832507,total recovered
2020/10/28,44521391,total cases
2020/10/28,1175040,total deaths
2020/10/28,30098469,total recovered
2020/10/29,45071405,total cases
2020/10/29,1182095,total deaths
2020/10/29,30345220,total recovered
2020/10/30,45641595,total cases
2020/10/30,1189658,total deaths
2020/10/30,30600994,total recovered
2020/10/31,46117683,total cases
2020/10/31,1196209,total deaths
2020/10/31,30845323,total recovered
2020/11/1,46579884,total cases
2020/11/1,1201152,total deaths
2020/11/1,31103270,total recovered
2020/11/2,47140871,total cases
2020/11/2,1207222,total deaths
2020/11/2,31383407,total recovered
2020/11/3,47693426,total cases
2020/11/3,1216564,total deaths
